date,weekday,usdjpy,eurjpy,usdjpy_prev,policy_rate,cpi_total,cpi_core,tankan_di
2026-03-17,火,158.88,183.32,159.57,0.5,3.2,2.8,12
2026-03-18,水,158.92,183.42,159.57,0.5,3.2,2.8,12
2026-03-19,木,159.75,183.13,159.1,0.5,3.2,2.8,12
2026-03-20,金,157.96,182.85,158.89,0.5,3.2,2.8,12
2026-03-23,月,159.18,184.06,157.92,0.5,3.2,2.8,12
2026-03-24,火,158.37,183.88,157.92,0.5,3.2,2.8,12
2026-03-25,水,158.7,184.34,159.23,0.5,3.2,2.8,12
2026-03-26,木,159.41,184.26,158.48,0.5,3.2,2.8,12
2026-03-27,金,159.66,184.22,158.72,0.5,3.2,2.8,12
2026-03-30,月,159.7,184.25,159.7,0.5,3.2,2.8,12
2026-03-31,火,159.83,183.07,160.23,0.5,3.2,2.8,12
2026-04-01,水,158.63,183.42,159.84,0.5,3.2,2.8,12
